event_id,direction,event,resource_type,resource_id,occurred_at,payload,signature,processing_status,attempts,idempotency_key,trace_id,created_at,updated_at
4e8aad3a-0a86-4483-b67a-06846cc139ee,outbound,kyc.updated,contract,1c1065e8-2740-41a0-b49d-911fb0b322a2,2025-09-26T12:00:00,"{""ok"": true}",,pending,2,IK-72679416-3,b56d00e7-db83-4a20-a527-25299d5ba01e,2025-10-04T12:00:00,2025-10-04T12:00:00
e277e571-7f4d-4abd-8bba-256a767a726f,inbound,payment.settled,kyc,bfa15b3a-f907-4e70-87ca-3e1d813bdb88,2025-09-07T12:00:00,"{""ok"": true}",,processed,3,IK-99254c39-6,dce8fb96-5aa4-44aa-89d5-16cdae7ad883,2025-10-04T12:00:00,2025-10-04T12:00:00
703c00f4-7dec-4360-87ca-9ab911c6dd02,inbound,payment.settled,disbursement,d785ec25-d228-4d7a-b785-0b40d6e5306f,2025-09-13T12:00:00,"{""ok"": true}",,processed,0,IK-084c9f78-c,85b59711-40f0-47b5-a9cd-d460a0d2e948,2025-10-04T12:00:00,2025-10-04T12:00:00
1eda459e-2b21-4a8b-88c5-035778fc343c,inbound,kyc.updated,payment,c4e0e964-5ee7-49f9-8973-c8e643210401,2025-10-01T12:00:00,"{""ok"": true}",,processed,0,IK-510ad1bd-7,88f3d828-992e-46a4-a079-d4bfbe33a022,2025-10-04T12:00:00,2025-10-04T12:00:00
a7f1298d-3bd7-4a84-be78-786aaeacde36,inbound,payment.settled,kyc,c43b2693-76b0-4d62-8160-500e40836e3e,2025-09-26T12:00:00,"{""ok"": true}",,processed,1,IK-c62b45f6-a,60f816fa-09ca-4685-bda1-be382e5f12b1,2025-10-04T12:00:00,2025-10-04T12:00:00
5f01126a-516a-4ad1-9e04-f90b0bed4145,outbound,disbursement.settled,payment,e3d33f8b-0bc9-44d8-8b8c-4507c961fea5,2025-09-23T12:00:00,"{""ok"": true}",,pending,0,IK-df7531f9-7,7f4e4af0-8cd6-49ac-9614-da3ee5f0451f,2025-10-04T12:00:00,2025-10-04T12:00:00
b5cdd6e5-2a40-4716-a619-1b7cd78b5144,outbound,contract.signed,kyc,eafd3185-075f-4431-9f1a-d64e523e4fea,2025-10-04T12:00:00,"{""ok"": true}",,processed,1,IK-19d5405b-a,c8d68b69-d404-4434-af3c-5b8bb9a7e85a,2025-10-04T12:00:00,2025-10-04T12:00:00
d094cc37-bd86-4b76-9903-d46f0930f72a,inbound,payment.settled,disbursement,39718d3c-fade-4eb5-bb29-b364e8e88e0b,2025-09-30T12:00:00,"{""ok"": true}",,pending,0,IK-e5403711-9,4327b6e1-88ed-4fd6-bf2f-56348f29d54d,2025-10-04T12:00:00,2025-10-04T12:00:00
1a648088-61b1-495d-a60e-435ed7553563,inbound,contract.signed,contract,3e81d037-79b8-4e88-b7db-eb06940d16bc,2025-10-04T12:00:00,"{""ok"": true}",,processed,2,IK-dc7202cb-0,b1c1bd65-6920-4599-a75c-07b607264bf3,2025-10-04T12:00:00,2025-10-04T12:00:00
5f7b2745-616e-4d21-9eaf-e42cfe573953,outbound,payment.settled,payment,087b23da-9cd7-4d04-994d-eab462a03420,2025-09-15T12:00:00,"{""ok"": true}",,pending,3,IK-2a71ea8c-5,d70a8d25-d0d5-4a2f-9f69-64b5de47bf5c,2025-10-04T12:00:00,2025-10-04T12:00:00
0daec0bb-da34-46d1-a02b-4df7f33231dc,inbound,disbursement.settled,kyc,456fdf34-19ee-407e-8545-446a38ca2376,2025-09-28T12:00:00,"{""ok"": true}",,pending,0,IK-40a3459d-d,842166b0-8577-4fcb-ac9f-08e8c1982f9c,2025-10-04T12:00:00,2025-10-04T12:00:00
5caf8d66-36d8-4e3a-aaad-1f86d02417cd,outbound,kyc.updated,disbursement,6a59f546-547f-4149-b791-2da72d3a4b78,2025-10-04T12:00:00,"{""ok"": true}",,processed,2,IK-36c55890-0,284e1a22-5e39-48e9-8f6c-8ff60f433fb7,2025-10-04T12:00:00,2025-10-04T12:00:00
a7d7c39e-2a5f-4366-ace5-5dae7167a78c,inbound,disbursement.settled,payment,f7eb55bc-0039-43ef-8060-93be39ded654,2025-09-12T12:00:00,"{""ok"": true}",,pending,3,IK-416e7c0a-f,89185a80-a0c9-41b1-a6ab-05432c557824,2025-10-04T12:00:00,2025-10-04T12:00:00
89c3e467-1295-41d9-9ef3-9c751f22b2ef,inbound,payment.settled,kyc,3b75c872-95ca-44ce-9181-0d65b0093cd2,2025-09-19T12:00:00,"{""ok"": true}",,processed,1,IK-ed491465-d,daca7bee-3945-404e-bdf9-e271bca55a13,2025-10-04T12:00:00,2025-10-04T12:00:00
12e2a7c2-2b25-4385-8f9e-345f8e3ff6b5,outbound,kyc.updated,disbursement,7bb1e77a-7643-47d5-a09b-9624e19e7237,2025-09-18T12:00:00,"{""ok"": true}",,processed,2,IK-8a9d0fd6-2,07e2cc72-cf1f-4bff-b62a-d80a0ecdb0f8,2025-10-04T12:00:00,2025-10-04T12:00:00
3666338b-afd5-42c5-9226-fa3dcbc27660,inbound,payment.settled,disbursement,7d881504-fe7b-4a16-b5e9-63a3bbe9d907,2025-09-16T12:00:00,"{""ok"": true}",,pending,2,IK-0b87eea4-7,807313c4-fedc-4ba6-958c-44da5a95adad,2025-10-04T12:00:00,2025-10-04T12:00:00
7ee369b9-9a74-40a9-8092-4e182a64a38b,inbound,payment.settled,payment,6ab5db75-96e2-448e-9f97-a879dcf7aa44,2025-09-25T12:00:00,"{""ok"": true}",,pending,2,IK-bcd94f1a-8,864c17ae-a1c4-4ba7-9c10-2037e4f70a12,2025-10-04T12:00:00,2025-10-04T12:00:00
