payout_id,investor,amount_gross,fees_total,amount_net,method,status,requested_at,settled_at,calculation_period,items,external_reference,idempotency_key,trace_id,created_at,updated_at
a81706ab-9d2b-48c6-b03a-90c447145ff1,d05fc84b-3ba9-40f2-84be-b10443dc7af4,1053.00,10.53,1042.47,wallet,processing,2025-09-26T12:00:00,2025-09-25T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-c211816a,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
59b239ed-9110-4cc0-8e83-ceadb26c5ddd,b2ffe955-a89b-414d-9a57-3c0cc2208cd6,1810.00,18.10,1791.90,pix,settled,2025-09-30T12:00:00,2025-09-29T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-3d9e913d,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
a9650dca-7509-4bd7-b220-34066e6d884b,67dd48e2-5d09-4c6f-92c0-6c33274a007f,1846.00,18.46,1827.54,pix,processing,2025-09-30T12:00:00,2025-09-25T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-df63a266,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
50aa710c-f900-4dd6-b089-4c7dca42a1f2,c751e69d-f690-42b2-a403-6ec299223f73,1518.00,15.18,1502.82,pix,settled,2025-09-27T12:00:00,2025-10-03T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-fd225e71,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
9e4eeef9-00e9-4d9f-a31c-6d7e90243ac2,e65de0c4-f42f-432b-a114-b6759d4afaa9,52.00,0.52,51.48,ted,processing,2025-10-01T12:00:00,2025-09-26T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-2396ac3c,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
3f21184e-ba06-4250-b2c0-0a6f06c28f56,8b8d3172-5f0e-48e8-98c2-4ae6cb9ce2a1,1864.00,18.64,1845.36,pix,settled,2025-09-20T12:00:00,2025-10-03T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-b0c6ff2e,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
86e72d5f-4a5c-4bd0-a3f1-90fe041310d6,00f04d71-70e6-419c-8cb5-25858516586c,231.00,2.31,228.69,pix,processing,2025-09-28T12:00:00,2025-10-03T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-8ffa6044,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
4ae0409b-da13-4367-9145-4c49b2b52b8c,930faa40-8b86-49fe-916e-6fb877742a35,906.00,9.06,896.94,pix,processing,2025-10-03T12:00:00,2025-09-25T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-d97f52f5,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
cd4face0-1b62-47b3-840f-3a02da545145,e4b0da20-c543-4c1b-9f3a-7395209d00ec,1520.00,15.20,1504.80,pix,settled,2025-09-22T12:00:00,2025-10-04T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-44217b01,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
aae0e910-83ae-4598-9297-a8aa4a91dc9d,af5e555e-c459-4a89-a390-5541272a5396,900.00,9.00,891.00,pix,processing,2025-09-27T12:00:00,2025-09-29T12:00:00,"{""from"": ""2025-08-01"", ""to"": ""2025-08-31""}",[],,IK-413ca615,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
