wallet_id,owner_type,owner_id,currency,available_balance,blocked_balance,status,external_reference,account_key,trace_id,created_at,updated_at
f33782be-15fa-420f-9842-0c3218404fd1,investor,d05fc84b-3ba9-40f2-84be-b10443dc7af4,BRL,8282.68,2015.92,active,,ACC-f33782be,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
f5cf197e-60a9-4e52-89c0-29f9f9ba4ceb,investor,b2ffe955-a89b-414d-9a57-3c0cc2208cd6,BRL,2930.03,1159.17,active,,ACC-f5cf197e,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
137cea06-b857-4c5d-b268-e38b6aa977fc,investor,67dd48e2-5d09-4c6f-92c0-6c33274a007f,BRL,4791.62,2329.35,active,,ACC-137cea06,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
e2582dbf-6ee9-48ae-a060-7a3e1b19c08f,investor,c751e69d-f690-42b2-a403-6ec299223f73,BRL,1740.64,546.21,active,,ACC-e2582dbf,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
eff3506d-c507-43bf-9d3d-0103178a1a05,investor,e65de0c4-f42f-432b-a114-b6759d4afaa9,BRL,3098.62,2615.47,active,,ACC-eff3506d,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
2ba2a202-a475-4f3e-b0c9-b62a23d2f681,investor,8b8d3172-5f0e-48e8-98c2-4ae6cb9ce2a1,BRL,18769.40,2537.20,active,,ACC-2ba2a202,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
ef79b50d-6c01-4424-9a37-ccd5f293c6ca,investor,00f04d71-70e6-419c-8cb5-25858516586c,BRL,18036.12,2119.71,active,,ACC-ef79b50d,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
4d7fd244-6820-4316-86ec-0e6b9a837cda,investor,930faa40-8b86-49fe-916e-6fb877742a35,BRL,16252.21,104.32,active,,ACC-4d7fd244,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
d26f698b-4999-482a-9898-3f8f9beabff6,investor,e4b0da20-c543-4c1b-9f3a-7395209d00ec,BRL,2258.92,66.46,active,,ACC-d26f698b,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
285dfe13-5cef-4411-bd6e-3216942bc031,investor,af5e555e-c459-4a89-a390-5541272a5396,BRL,17484.27,397.10,active,,ACC-285dfe13,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
fe097b8c-cb0f-4754-bdb7-7de850788441,investor,4999ff04-e0f5-4aee-ae37-b75da9f25adf,BRL,4601.25,603.71,active,,ACC-fe097b8c,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
ba3af4f2-2433-474c-ac7e-721ab60ab18a,investor,7e23d76e-f7ed-4058-984b-d3da05a7419d,BRL,3297.53,2401.76,active,,ACC-ba3af4f2,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
497a5a0e-6024-414e-8ea7-ff5e4d51c97c,investor,b125859c-4e2a-4d8b-a32b-23ed8126bf30,BRL,15055.95,1882.92,active,,ACC-497a5a0e,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
e1301c2a-1207-4018-bb79-afcdc7e92571,investor,8830ad5c-8737-4a26-8f74-e0556b7f03f4,BRL,18705.82,831.81,active,,ACC-e1301c2a,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
a2918afd-8099-4fe8-aaa5-4c2ba25c29f4,investor,9549f45d-a317-4fe1-b713-0b3cb2b8cf70,BRL,11956.32,639.98,active,,ACC-a2918afd,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
a9706360-f09a-440d-b0ef-7f0203f57ad3,investor,05846cba-ad98-41eb-9563-dba41d9e619d,BRL,3910.34,2924.77,active,,ACC-a9706360,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
45a307ce-c035-43b3-8325-1711cc35c775,investor,7431c656-65ea-46a9-b93d-d040346d706c,BRL,18288.47,2819.25,active,,ACC-45a307ce,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
5e84774b-42ac-4d1c-a9bf-bdad7e808947,investor,64e475c1-91ff-4fa9-b232-eeee559408dc,BRL,7449.77,2830.13,active,,ACC-5e84774b,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
25bf7335-5709-4171-970a-834272a9ee34,investor,88ac0eba-a8ef-4c87-91dc-aa4b642efb65,BRL,14620.01,91.33,active,,ACC-25bf7335,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
89cad455-8e8a-4ae9-9379-81e8e5d457c8,investor,b468df45-831f-4490-ba7e-8953bd54f749,BRL,7850.34,313.40,active,,ACC-89cad455,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
3010fb89-dd17-484b-8abc-575f821e55da,investor,018827d3-ebff-4c52-89c0-34c62b53203d,BRL,2687.51,2709.84,active,,ACC-3010fb89,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
9ca0423b-10dd-48be-8a69-4d534164fe98,investor,c059cf4d-807d-43ee-9a81-816912c21cb2,BRL,8540.05,1714.91,active,,ACC-9ca0423b,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
4943718a-f02b-4383-afd8-b843fb4099d6,investor,a5169d48-d67b-48bc-be7a-81daf6d57646,BRL,1251.41,1775.41,active,,ACC-4943718a,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
30165bd8-5c53-4eb2-9c2c-ceb7b445bb05,investor,83851878-1f75-4606-a3ee-25775ec59777,BRL,8535.71,2032.80,active,,ACC-30165bd8,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
20481a2f-6e20-4c85-93ba-2dcd5b0c5750,investor,bf407593-3906-4d2e-ae12-d339787f312b,BRL,8417.89,2.87,active,,ACC-20481a2f,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
