ledger_entry_id,entry_date,debit_account,credit_account,amount,currency,reference_type,reference_id,trace_id,created_at,updated_at
e3a1712a-95db-4cbe-971a-fdb9864bded8,2025-10-04T12:00:00,cash,accounts_receivable,315.39,BRL,payment,5674ca33-9506-4aa1-a193-3fec729262e7,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
b9456a01-0036-4dd2-a279-7ebc4ee35f40,2025-10-04T12:00:00,cash,accounts_receivable,739.90,BRL,payment,6ec205aa-5425-4117-b44d-12cb25041e1d,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
f672e83a-3185-4291-a665-cb9d32bdc030,2025-10-17T12:00:00,cash,accounts_receivable,633.40,BRL,payment,df6a8860-1c7d-44cf-b62a-32c486c42d7b,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
8e79037d-27d3-471a-8a16-b1b6a381a028,2025-10-04T12:00:00,cash,accounts_receivable,1753.98,BRL,payment,ec8e890b-327c-41cc-8d2a-ffa69ec84d44,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
17cbaba5-1ecf-4003-80b9-dad93a64031c,2025-10-06T12:00:00,cash,accounts_receivable,1407.57,BRL,payment,a9c10558-8f64-4c19-9d16-9a271d855f7f,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
6faa7a88-99a1-40d8-a516-caa1605b2f92,2025-10-04T12:00:00,cash,accounts_receivable,2867.04,BRL,payment,ea6026d3-d460-4e66-9897-fc3fc6c7441d,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
2edcbbb2-fdeb-44f8-abb8-a36c489a4fcd,2025-10-04T12:00:00,cash,accounts_receivable,1616.50,BRL,payment,56e552cf-0fae-4837-88b1-32691ce32e7f,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
01ec7f0b-915f-4efe-ae5e-2dbd6c0ddbcb,2025-10-06T12:00:00,cash,accounts_receivable,915.12,BRL,payment,8fc613b6-3b35-443f-a393-0da70b8466d5,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
7fe17968-bc7c-4d54-99bf-707e9db09cfe,2025-10-04T12:00:00,cash,accounts_receivable,332.01,BRL,payment,1283bdb4-1f1c-4faf-97da-76f2e0ae4e5a,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
b7012d2d-0db6-43b0-ae5e-5b6d7e2a53f2,2025-10-04T12:00:00,cash,accounts_receivable,1090.45,BRL,payment,3299748e-b766-4549-839b-7910800f145d,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
1ece733e-21f6-4773-b06c-491f091c77ec,2025-10-04T12:00:00,cash,accounts_receivable,5486.20,BRL,payment,657a9254-061d-451b-8fdd-bac40bd7f23d,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
2dfaaa42-eabb-4e1c-9e0a-d23c08393ee0,2025-10-04T12:00:00,cash,accounts_receivable,1472.18,BRL,payment,43ef84fb-5e3d-4dc6-b3b6-b219bdd26b74,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
6e2ff1eb-abdb-4c68-b63d-3cc71f7c183a,2025-10-04T12:00:00,cash,accounts_receivable,1117.11,BRL,payment,2661947b-1d53-44be-b8b5-3082d56dac62,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
c2ab0da0-d3bd-49ec-a50b-225b1c769ce6,2025-10-04T12:00:00,cash,accounts_receivable,710.23,BRL,payment,acbc73d9-6dce-44d8-a62b-f91983ae0948,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
c96d0f9b-05ee-462a-8fa8-0670a8ab0e73,2025-10-06T12:00:00,cash,accounts_receivable,1502.62,BRL,payment,e1f1e51a-0a30-40ce-a80e-55db4debec9f,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
5806298a-a3ea-42ef-9618-425545446c11,2025-10-09T12:00:00,cash,accounts_receivable,1621.96,BRL,payment,a5bd26e2-66a7-44a3-b9f4-a918be73c0e6,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
734301bf-c7d8-47d1-af71-6c935da80733,2025-10-04T12:00:00,cash,accounts_receivable,3099.34,BRL,payment,890deeee-4586-4869-a611-5304b6791390,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
36825689-90cf-41f7-82d6-671435ed35a8,2025-10-04T12:00:00,cash,accounts_receivable,2492.26,BRL,payment,771b8856-a261-4a97-a6d7-e2e5247ecda9,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
9a040a00-6cd7-4d54-ac4f-5463d2f2ac02,2025-10-04T12:00:00,cash,accounts_receivable,929.80,BRL,payment,0ab40156-ac25-4187-a22c-f49c644dad0c,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
7aa576cd-baa8-4129-81e9-a5372dd36837,2025-10-04T12:00:00,cash,accounts_receivable,1818.91,BRL,payment,a0aa0009-0430-47d1-a46e-80cc259fd41a,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
4351a8bf-9d81-42ff-b5d3-1247bea0c6e3,2025-10-19T12:00:00,cash,accounts_receivable,1384.75,BRL,payment,d648d669-4736-443c-81a2-0de047132545,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
8583dde9-c11e-4f07-90bf-ac7a2fe86633,2025-10-04T12:00:00,cash,accounts_receivable,701.10,BRL,payment,5de0400c-d2c3-4f3a-9d6e-48561c5308e6,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
5df88870-089f-4c61-941f-984d6ffefccd,2025-10-06T12:00:00,cash,accounts_receivable,582.79,BRL,payment,284ae583-3679-4417-b675-c85a3c06f609,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
930c3204-4b15-4bc1-9ecd-8448ed461006,2025-10-04T12:00:00,cash,accounts_receivable,610.98,BRL,payment,6d9d5aad-9866-448b-9b9a-d279f9c2c863,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
