pd,rate_monthly
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.03054899997616153,0.028973749374240146
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.002,0.02806375
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.11134626264472865,0.03154916212180073
0.13650537980800206,0.032351108981380064
0.017890772128060263,0.02857026836158192
0.12201590461194134,0.031889256959505625
0.06063404793628274,0.02993271027796901
0.002,0.02806375
0.026279391424619634,0.028837655601659747
0.08725166162893445,0.030781146714422288
0.04736981539276691,0.029509912865644444
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.002,0.02806375
0.002,0.02806375
0.002,0.02806375
0.0673883363060165,0.030148003219754277
0.002,0.02806375
0.053091911715387484,0.029692304685927977
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.09606389983635182,0.031062036807283713
0.07582053242606251,0.030416779471080742
0.6,0.045
0.10286807057288072,0.031278919749510574
0.12209016245160824,0.03189162392814501
0.12277739184760057,0.03191352936514227
0.017890772128060263,0.02857026836158192
0.14621930883790465,0.03266074046920821
0.002,0.02806375
0.002,0.02806375
0.10253402443731129,0.031268272028939295
0.002,0.02806375
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.002,0.02806375
0.002,0.02806375
0.02127659574468085,0.028678191489361703
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.04970608809876689,0.029584381558148194
0.02127659574468085,0.028678191489361703
0.002,0.02806375
0.002,0.02806375
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.0389376192727209,0.02924113661431798
0.027131782945736437,0.028864825581395345
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.02127659574468085,0.028678191489361703
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.1308542741568964,0.03217097998875107
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.22993524412625888,0.0353291859065245
0.002,0.02806375
0.03054899997616153,0.028973749374240146
0.052245428639723375,0.029665323037891184
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.002,0.02806375
0.002,0.02806375
0.03704786025066562,0.02918090054548997
0.0389376192727209,0.02924113661431798
0.02127659574468085,0.028678191489361703
0.017890772128060263,0.02857026836158192
0.07582053242606251,0.030416779471080742
0.002,0.02806375
0.06995520982764149,0.03022982231325607
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.0669621429646607,0.03013441830699856
0.002,0.02806375
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.06975857414043113,0.030223554550726242
0.002,0.02806375
0.12543862301095424,0.031998356108474166
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.017890772128060263,0.02857026836158192
0.002,0.02806375
0.06063404793628274,0.02993271027796901
0.002,0.02806375
0.017890772128060263,0.02857026836158192
